% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3,181119281e+08 +3,181119281e+08 +3,181113070e+08 +3,181113070e+08 +2,3088e+00 -3,9953e+00 -8,9919e-01 -9,2560e-01 -2,9229e+00 -4,6376e+00 -1,6728e+00 +1,5887e+00 +4,6776e+00 +2,1074e+00
3 +1,151453091e+08 +1,151453091e+08 +1,151446880e+08 +1,151446880e+08 -1,0283e+00 +4,1396e+00 -1,5248e+00 -3,4066e+00 -2,0594e+00 -1,3100e+00 +6,4836e-02 +3,6446e+00 -3,8403e+00 +3,9260e-01
28 +7,292681362e+07 +7,292681362e+07 +7,292619251e+07 +7,292619251e+07 -1,3087e+00 +7,6712e-01 -3,6162e-01 -3,6893e+00 -3,2276e+00 -4,5795e+00 +1,7612e+00 +3,2429e+00 +2,1557e+00 +7,7427e-01
38 +1,434687662e+07 +1,434687662e+07 +1,434625551e+07 +1,434625551e+07 +7,2230e-01 +4,0025e+00 +5,5967e-01 -4,6411e+00 -2,4970e+00 -1,2357e+00 +4,2028e+00 -1,0753e+00 +2,2375e+00 -8,3486e-01
299 +8,965394213e+06 +8,965394213e+06 +8,964773103e+06 +8,964773103e+06 +2,2275e-02 +4,0025e+00 +4,9523e-03 -4,6411e+00 -9,0207e-01 -7,6746e-01 +7,6194e-01 -5,9585e-01 +1,6020e+00 -2,5079e+00
303 +5,085453098e+06 +5,085453098e+06 +5,084831988e+06 +5,084831988e+06 +2,2275e-02 +4,1974e+00 +4,9550e-01 -2,5077e+00 -1,2504e-01 -1,0320e+00 +7,6194e-01 -1,4228e+00 +2,2375e+00 -8,3486e-01
378 +3,223965178e+06 +3,223965178e+06 +3,223344068e+06 +3,223344068e+06 -3,4095e-02 +3,5879e+00 +4,8971e-01 -3,2800e+00 -1,2504e-01 -9,7587e-01 +7,6194e-01 -1,0601e+00 +1,7148e+00 -8,3486e-01
431 +2,194524880e+06 +2,194524880e+06 +2,193903770e+06 +2,193903770e+06 -3,4095e-02 +3,5879e+00 +3,5953e-01 -3,9482e+00 -2,7516e-01 -2,1076e+00 +7,6194e-01 -1,2401e+00 +1,7658e+00 -8,3486e-01
491 +1,175471542e+06 +1,175471542e+06 +1,174850432e+06 +1,174850432e+06 -9,0282e-01 +4,1974e+00 -2,2294e-01 -3,2531e+00 +3,7517e-01 -1,3213e+00 +1,0438e+00 -9,2205e-02 +1,9297e+00 -8,3486e-01
592 +5,732894188e+05 +5,732894188e+05 +5,726683088e+05 +5,726683088e+05 -6,2828e-01 +4,1974e+00 -2,2294e-01 -3,6153e+00 +5,8800e-01 -1,7891e+00 +1,0686e+00 -1,0562e+00 +1,4952e+00 -8,3486e-01
783 +3,364941290e+05 +3,364941290e+05 +3,358730190e+05 +3,358730190e+05 -8,6865e-01 +3,9001e+00 -4,4817e-01 -3,6153e+00 +5,8800e-01 -1,7891e+00 +1,0686e+00 -1,0562e+00 +1,4952e+00 -8,3486e-01
821 +2,089401746e+05 +2,089401746e+05 +2,083190646e+05 +2,083190646e+05 -1,1440e+00 +3,8405e+00 -2,2294e-01 -3,6153e+00 +2,3198e-01 -1,7891e+00 +1,0125e+00 -1,0562e+00 +1,4952e+00 -1,6788e-01
901 +1,372843657e+05 +1,372843657e+05 +1,366632557e+05 +1,366632557e+05 -1,1440e+00 +3,8405e+00 -2,2294e-01 -3,6153e+00 +2,3198e-01 -1,7891e+00 +1,0125e+00 -7,1709e-01 +1,4952e+00 -1,6788e-01
1059 +8,223833784e+04 +8,223833784e+04 +8,161722784e+04 +8,161722784e+04 -1,1440e+00 +3,8405e+00 -2,2294e-01 -3,6153e+00 +2,3198e-01 -1,7891e+00 +1,2232e+00 -7,1709e-01 +1,4952e+00 -1,6788e-01
1438 +5,306362006e+04 +5,306362006e+04 +5,244251006e+04 +5,244251006e+04 -1,1274e+00 +4,0414e+00 -4,4817e-01 -3,4024e+00 +5,0252e-01 -1,7213e+00 +1,0125e+00 -7,1709e-01 +1,4952e+00 -3,2460e-01
1480 +3,945088686e+04 +3,945088686e+04 +3,882977686e+04 +3,882977686e+04 -1,1440e+00 +3,8405e+00 -2,2294e-01 -3,6153e+00 +2,3198e-01 -1,8653e+00 +1,2232e+00 -7,1709e-01 +1,4952e+00 -4,3128e-01
1577 +2,247717701e+04 +2,247717701e+04 +2,185606701e+04 +2,185606701e+04 -1,1440e+00 +4,0646e+00 -2,2294e-01 -3,6153e+00 +2,3198e-01 -1,8653e+00 +1,2232e+00 -7,1709e-01 +1,4952e+00 -4,3128e-01
2780 +1,531983185e+04 +1,531983185e+04 +1,469872185e+04 +1,469872185e+04 -1,1440e+00 +4,0235e+00 -2,3721e-01 -3,6153e+00 +2,6099e-01 -1,8653e+00 +1,2079e+00 -7,7040e-01 +1,4952e+00 -4,3128e-01
3058 +8,407446833e+03 +8,407446833e+03 +7,786336833e+03 +7,786336833e+03 -1,0673e+00 +4,0646e+00 -3,2749e-01 -3,5366e+00 +2,3076e-01 -1,8653e+00 +1,2302e+00 -7,7040e-01 +1,4952e+00 -4,3128e-01
3757 +6,204519651e+03 +6,204519651e+03 +5,583409651e+03 +5,583409651e+03 -1,0673e+00 +4,0235e+00 -2,3721e-01 -3,6153e+00 +9,0071e-02 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,3912e+00 -4,3128e-01
4374 +3,787946359e+03 +3,787946359e+03 +3,166836359e+03 +3,166836359e+03 -1,0937e+00 +4,0646e+00 -3,2749e-01 -3,5366e+00 +2,6099e-01 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,4376e+00 -3,9524e-01
4513 +1,787421504e+03 +1,787421504e+03 +1,166311504e+03 +1,166311504e+03 -1,1132e+00 +4,0235e+00 -2,7398e-01 -3,5541e+00 +2,3064e-01 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,4376e+00 -3,9524e-01
4946 +1,465521746e+03 +1,465521746e+03 +8,444117459e+02 +8,444117459e+02 -1,1132e+00 +3,9919e+00 -2,9585e-01 -3,5366e+00 +2,8582e-01 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,4376e+00 -3,9524e-01
5600 +6,260863441e+02 +6,260863441e+02 +4,976344056e+00 +4,976344056e+00 -1,1132e+00 +3,9919e+00 -3,1615e-01 -3,5366e+00 +2,8582e-01 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,4376e+00 -3,9524e-01
5968 +3,889738228e+02 +3,889738228e+02 -2,321361772e+02 -2,321361772e+02 -1,1132e+00 +3,9919e+00 -3,3439e-01 -3,5366e+00 +2,8582e-01 -1,8653e+00 +1,2232e+00 -7,7040e-01 +1,4376e+00 -3,9524e-01
7042 +2,468744137e+02 +2,468744137e+02 -3,742355863e+02 -3,742355863e+02 -1,1132e+00 +3,9919e+00 -3,3439e-01 -3,5366e+00 +2,8582e-01 -1,8653e+00 +1,2232e+00 -7,8464e-01 +1,4376e+00 -4,0141e-01
